Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
37868,Simon Mignolet,8342,Keeper,810,36,€2.2M,First Division A,55,7.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,50,1.22,N/A,40,0.05,25,0.67,N/A,N/A,90,55.56,90,83.63,N/A,N/A,N/A,N/A,N/A,30,0.11,45,0.11,N/A,0,0.0,N/A,N/A,N/A,N/A,0,0.0,35,66.67,40,2.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38797,Sinan Bolat,10001,Keeper,810,36,€550K,First Division A,80,8.0,N/A,N/A,60,0.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,0.11,N/A,N/A,N/A,N/A,N/A,25,1.78,N/A,45,0.15,40,0.78,N/A,N/A,45,39.34,35,62.5,N/A,N/A,N/A,N/A,N/A,20,0.22,60,0.22,N/A,0,0.0,N/A,N/A,N/A,N/A,0,0.0,40,68.0,65,3.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40521,Sven Kums,9991,Central Midfielder,318,36,€420K,First Division A,88,4.53,93,58.02,N/A,N/A,16,20,25.0,0.28,0,0.0,51,0.28,96,3.11,N/A,N/A,95,57.14,88,0.28,14,1.98,N/A,N/A,N/A,N/A,15,21,42.86,3.4,N/A,N/A,41,1.13,41,0.85,93,N/A,N/A,0.28,N/A,N/A,N/A,N/A,26,0.57,88,72.73,69,85.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44,0.28,77,6.51,100,0.0,N/A,N/A,N/A,N/A,48,49,0.28,0.85,95,2.26,23,12,37.5,0.85,91,9,0.28,84.06,33,0.28,84,0.2,20,21,0.03,0.03,75,0.15
71908,Mathias Jørgensen,8635,Center Back,540,34,€1.6M,First Division A,32,3.33,83,59.83,N/A,N/A,44,14,44.0,1.83,91,0.17,68,0.17,47,0.17,N/A,N/A,N/A,N/A,56,0.17,55,0.33,N/A,N/A,N/A,N/A,15,3,39.13,3.0,N/A,N/A,97,2.0,24,0.33,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,36,1.17,91,66.67,80,89.3,N/A,N/A,2,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88,0.17,80,4.67,100,0.0,N/A,N/A,N/A,N/A,21,N/A,N/A,0.17,N/A,N/A,32,53,66.67,0.67,77,11,0.17,77.83,26,0.33,58,0.02,23,23,0.01,0.01,N/A,N/A
117541,Tjaronn Chery,9988,Attacking Midfielder,696,36,€360K,First Division A,63,1.55,55,25.34,N/A,N/A,35,87,66.67,0.26,72,0.26,65,0.78,73,2.07,N/A,N/A,70,26.0,53,1.16,72,0.26,38,0.78,82,66.67,7,75,54.29,2.46,N/A,N/A,10,0.26,15,0.65,93,N/A,N/A,0.65,N/A,N/A,N/A,N/A,N/A,N/A,38,50.0,52,78.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,0.52,17,2.46,0,0.0,N/A,N/A,N/A,N/A,95,90,1.42,3.88,85,1.68,22,22,50.0,0.39,53,57,4.4,49.4,100,0.0,85,0.28,65,67,0.26,0.26,82,0.47
118241,Gustaf Nilsson,8342,Striker,743,27,€6.5M,First Division A,59,0.36,5,9.81,N/A,N/A,85,95,63.64,4.24,95,0.48,56,0.61,67,1.33,N/A,N/A,N/A,N/A,64,1.09,77,0.12,26,0.48,23,30.77,82,87,51.75,7.15,N/A,N/A,77,2.06,79,2.06,64,N/A,N/A,0.36,N/A,N/A,N/A,N/A,77,0.24,69,75.0,0,59.56,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,N/A,0.12,N/A,N/A,79,0.85,36,2.3,0,0.0,N/A,N/A,N/A,N/A,82,77,1.45,4.12,N/A,N/A,23,21,40.0,0.24,49,92,8.96,34.04,28,0.24,56,0.09,77,64,0.46,0.56,72,0.6
145551,Roman Neustädter,10001,Center Back,720,36,€250K,First Division A,58,4.0,24,34.88,N/A,N/A,15,11,43.48,1.25,0,0.0,N/A,N/A,64,0.25,N/A,N/A,N/A,N/A,100,0.0,38,0.5,N/A,N/A,N/A,N/A,18,30,52.08,3.12,N/A,N/A,45,0.88,45,0.5,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,45,1.38,61,56.14,64,85.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,2.75,100,0.0,N/A,N/A,N/A,N/A,44,71,0.25,0.38,N/A,N/A,18,8,30.77,0.5,12,29,0.5,52.5,48,0.12,33,0.01,50,52,0.03,0.03,65,0.05
148331,Anthony Moris,7978,Keeper,810,34,€1.8M,First Division A,90,8.56,N/A,N/A,40,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,85,0.78,N/A,60,0.29,15,0.56,N/A,N/A,85,55.4,55,73.19,N/A,N/A,N/A,N/A,N/A,100,0.0,45,0.11,N/A,0,0.0,N/A,N/A,N/A,N/A,0,0.0,60,72.0,15,2.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
149150,Denis Odoi,9988,Right Back,537,36,€320K,First Division A,83,4.02,70,40.06,N/A,N/A,72,37,42.86,1.51,81,0.17,74,0.5,15,0.17,N/A,N/A,N/A,N/A,83,0.34,88,0.17,53,0.67,72,66.67,63,74,54.84,5.7,N/A,N/A,78,1.84,81,1.68,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,56,1.01,70,66.67,64,84.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,5.03,1,0.17,N/A,N/A,N/A,N/A,46,40,0.17,0.84,N/A,N/A,42,54,63.64,1.17,56,15,0.5,60.84,10,0.67,11,0.02,42,43,0.05,0.05,40,0.01
160599,Toby Alderweireld,9988,Center Back,810,35,€2.7M,First Division A,95,8.22,76,53.89,N/A,N/A,26,9,42.86,1.33,85,0.11,89,0.33,73,0.33,N/A,N/A,N/A,N/A,62,0.11,55,0.33,N/A,N/A,N/A,N/A,3,20,48.89,2.44,N/A,N/A,8,0.33,38,0.44,92,N/A,N/A,0.22,N/A,N/A,N/A,N/A,26,1.0,59,55.64,62,85.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,3.67,100,0.0,N/A,N/A,N/A,N/A,91,77,0.33,1.11,N/A,N/A,14,53,66.67,0.44,62,88,1.67,72.78,35,0.22,92,0.1,70,71,0.06,0.06,73,0.07
