Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
23354,Ashley Young,8668,Right Back,336,39,€550K,Premier League,94,3.21,28,27.32,N/A,N/A,20,15,20.0,0.27,96,0.54,N/A,N/A,78,1.07,N/A,N/A,59,25.0,100,0.0,87,0.27,56,0.54,50,66.67,48,87,62.96,4.55,N/A,N/A,48,1.07,78,1.34,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,69,1.34,39,40.0,7,71.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,0.27,80,5.09,0,0.27,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,63,0.54,56,41,55.56,1.34,56,N/A,N/A,62.41,31,0.27,69,0.09,N/A,N/A,N/A,N/A,N/A,N/A
37234,Adam Lallana,8466,Attacking Midfielder,114,36,€1.3M,Premier League,28,0.79,94,63.95,N/A,N/A,N/A,N/A,N/A,N/A,100,1.58,86,0.79,81,1.58,N/A,N/A,N/A,N/A,1,3.16,15,1.58,82,1.58,69,66.67,35,5,31.58,4.74,N/A,N/A,95,3.16,28,0.79,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,92,2.37,13,25.0,60,88.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,1.58,87,7.11,100,0.0,N/A,N/A,N/A,N/A,92,N/A,N/A,2.37,N/A,N/A,83,100,100.0,2.37,97,90,3.95,93.16,0,1.58,81,0.16,79,81,0.13,0.13,N/A,N/A
38807,James Milner,10204,Left Back,172,38,€1.5M,Premier League,19,0.52,15,27.21,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,N/A,N/A,91,2.09,N/A,N/A,79,37.5,100,0.0,N/A,N/A,47,0.52,100,100.0,12,85,63.64,3.66,N/A,N/A,55,1.57,18,0.52,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,58,1.05,15,33.33,15,80.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.05,100,0.0,N/A,N/A,N/A,N/A,59,82,0.52,1.05,95,1.57,33,18,40.0,1.05,14,64,2.09,49.19,24,0.52,59,0.08,72,73,0.09,0.09,N/A,N/A
113836,Danny Welbeck,10204,Striker,510,33,€5.5M,Premier League,33,0.18,74,16.41,N/A,N/A,37,93,60.0,1.06,59,0.18,52,0.71,74,1.06,N/A,N/A,N/A,N/A,44,1.41,74,0.18,74,0.71,48,40.0,41,85,47.73,3.71,N/A,N/A,19,0.71,30,0.88,67,N/A,N/A,0.53,N/A,N/A,N/A,N/A,67,0.35,100,100.0,93,85.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,0.18,15,0.88,0,0.0,N/A,N/A,N/A,N/A,59,52,1.24,2.82,N/A,N/A,85,52,66.67,0.71,44,33,4.94,31.59,41,0.18,48,0.05,52,63,0.42,0.42,56,0.5
154280,Jordan Ayew,8197,Right Winger,292,33,€4.2M,Premier League,44,0.62,23,18.49,N/A,N/A,85,48,33.33,1.23,0,0.0,26,0.31,21,0.92,N/A,N/A,44,20.0,27,2.16,37,0.92,77,2.16,96,77.78,96,83,56.14,9.86,N/A,N/A,70,1.54,98,4.32,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,40,0.31,23,33.33,67,83.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,0.92,93,6.16,100,0.0,N/A,N/A,N/A,N/A,64,23,0.31,2.16,55,0.62,32,14,28.57,0.62,45,26,3.08,48.08,6,0.62,12,0.03,61,62,0.24,0.24,19,0.01
157723,Christian Eriksen,10260,Defensive Midfielder,171,32,€13M,Premier League,92,3.16,86,57.37,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,N/A,N/A,95,3.16,N/A,N/A,76,33.33,44,1.05,41,1.05,N/A,N/A,N/A,N/A,0,4,30.77,2.11,N/A,N/A,26,1.05,19,0.53,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,26,0.53,62,60.0,76,89.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,0.53,41,4.74,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,97,3.16,N/A,N/A,N/A,N/A,87,65,2.11,84.74,23,0.53,97,0.39,N/A,N/A,N/A,N/A,N/A,N/A
158545,Michail Antonio,8654,Striker,362,34,€5M,Premier League,100,1.49,37,10.44,N/A,N/A,44,26,31.58,1.49,74,0.25,85,1.24,7,0.25,N/A,N/A,N/A,N/A,22,1.74,70,0.25,44,0.5,33,33.33,11,0,23.68,2.24,N/A,N/A,63,1.49,7,0.25,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,70,75.0,30,70.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,1.74,0,0.0,N/A,N/A,N/A,N/A,41,7,0.25,2.49,N/A,N/A,N/A,N/A,N/A,N/A,41,7,2.98,30.58,22,0.25,26,0.03,22,30,0.31,0.31,15,0.05
159833,Kyle Walker,8456,Right Back,260,34,€15M,Premier League,83,2.42,100,70.96,N/A,N/A,57,74,60.0,1.04,0,0.0,94,0.69,81,1.38,N/A,N/A,83,40.0,100,0.0,39,1.04,31,0.35,100,100.0,15,67,56.25,3.12,N/A,N/A,28,0.69,24,0.35,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,4,0.35,78,53.85,94,90.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,0.35,87,5.54,100,0.0,N/A,N/A,N/A,N/A,93,94,0.69,1.73,67,0.69,22,22,50.0,0.69,100,26,0.35,98.31,100,0.0,96,0.3,72,72,0.05,0.05,78,0.05
160447,Adam Smith,8678,Right Back,266,33,€1.5M,Premier League,33,1.02,6,17.93,N/A,N/A,69,69,57.14,1.35,0,0.0,N/A,N/A,22,0.34,N/A,N/A,37,16.67,57,0.34,44,1.02,63,0.68,50,66.67,43,80,61.9,4.4,N/A,N/A,N/A,N/A,63,1.02,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,70,1.35,24,30.0,22,77.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,4.74,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,44,0.34,20,22,50.0,0.68,4,N/A,N/A,45.68,28,0.34,9,0.01,N/A,N/A,N/A,N/A,N/A,N/A
169162,Craig Dawson,8602,Center Back,298,34,€2.5M,Premier League,63,3.02,41,45.3,N/A,N/A,35,94,83.33,1.51,0,0.0,N/A,N/A,86,0.6,N/A,N/A,N/A,N/A,100,0.0,57,0.3,68,0.3,57,50.0,43,84,70.59,3.62,N/A,N/A,29,0.6,60,0.6,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,59,1.21,29,37.04,24,84.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,3.32,100,0.0,N/A,N/A,N/A,N/A,30,N/A,N/A,0.3,N/A,N/A,44,22,50.0,0.6,32,75,1.51,64.03,100,0.0,49,0.01,37,37,0.02,0.02,N/A,N/A
