Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
31293,Steve Mandanda,9851,Keeper,540,39,€850K,Ligue 1,57,5.5,N/A,N/A,24,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,43,1.5,N/A,29,-0.28,10,0.5,N/A,N/A,43,37.93,24,64.52,N/A,N/A,N/A,N/A,N/A,100,0.0,24,0.17,N/A,86,0.17,N/A,N/A,N/A,N/A,0,0.0,52,67.86,38,3.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38432,Dante,9831,Center Back,474,40,€700K,Ligue 1,32,1.71,86,67.59,N/A,N/A,30,14,46.15,1.14,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,0.19,47,0.38,76,0.57,61,60.0,42,35,58.54,4.56,N/A,N/A,61,1.14,56,0.76,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,56,1.33,9,26.47,47,87.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,0.19,80,5.32,100,0.0,N/A,N/A,N/A,N/A,38,N/A,N/A,0.19,N/A,N/A,38,21,45.45,0.95,86,82,1.33,89.43,9,0.57,68,0.03,29,29,0.0,0.0,58,0.0
115067,Nemanja Matic,9748,Central Midfielder,361,36,€4M,Ligue 1,55,1.5,66,44.38,N/A,N/A,38,45,40.0,0.5,0,0.0,N/A,N/A,31,0.5,N/A,N/A,84,50.0,90,0.25,35,1.25,28,0.25,57,50.0,11,27,44.44,2.99,N/A,N/A,57,1.25,14,0.25,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,31,0.5,33,50.0,68,88.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,1.0,72,5.98,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,69,0.25,70,89,87.5,1.75,40,56,1.5,58.34,100,0.0,64,0.11,N/A,N/A,N/A,N/A,N/A,N/A
148830,Benjamin André,8639,Defensive Midfielder,443,34,€10M,Ligue 1,92,4.67,89,62.17,N/A,N/A,93,57,47.83,2.23,0,0.0,66,0.41,57,0.81,N/A,N/A,N/A,N/A,40,1.02,47,1.02,25,0.2,57,50.0,83,65,53.23,6.7,N/A,N/A,52,1.22,83,1.83,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,65,1.22,69,67.65,49,85.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68,0.61,80,6.7,100,0.0,N/A,N/A,N/A,N/A,45,44,0.2,0.81,N/A,N/A,41,25,46.15,1.22,91,69,2.23,88.17,11,0.61,45,0.07,44,47,0.05,0.05,52,0.03
150021,Karl-Johan Johnsson,9848,Keeper,270,34,€500K,Ligue 1,0,3.0,N/A,N/A,81,0.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,19,2.0,N/A,76,0.24,24,0.67,N/A,N/A,10,32.14,90,79.63,N/A,N/A,N/A,N/A,N/A,14,0.33,62,0.33,N/A,0,0.0,N/A,N/A,N/A,N/A,0,0.0,62,72.73,100,5.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
166019,Wahbi Khazri,10249,Striker,116,33,€2.5M,Ligue 1,80,0.78,85,24.05,N/A,N/A,55,88,66.67,1.55,0,0.0,75,0.78,N/A,N/A,N/A,N/A,85,25.0,2,4.66,N/A,N/A,88,1.55,70,50.0,88,70,42.86,6.98,N/A,N/A,78,2.33,65,1.55,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,95,0.78,45,50.0,80,83.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,1.55,100,0.0,N/A,N/A,N/A,N/A,70,45,0.78,3.1,95,0.78,95,68,66.67,1.55,90,12,3.1,53.53,2,0.78,35,0.05,18,20,0.14,0.14,25,0.15
169193,Alexandre Lacazette,9748,Striker,360,33,€9.5M,Ligue 1,85,1.0,68,19.0,N/A,N/A,35,38,33.33,0.75,85,0.25,52,0.5,60,1.0,N/A,N/A,90,40.0,68,1.0,12,0.75,55,0.75,70,50.0,25,45,36.84,3.5,N/A,N/A,75,2.25,62,1.5,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,40,44.44,32,73.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,1.0,35,1.75,100,0.0,N/A,N/A,N/A,N/A,42,62,1.25,2.25,92,0.5,50,50,50.0,0.25,60,57,5.25,39.0,28,0.25,92,0.25,57,50,0.32,0.52,52,0.32
179515,Téji Savanier,10249,Attacking Midfielder,531,32,€10M,Ligue 1,100,6.95,92,38.47,N/A,N/A,48,48,33.33,0.51,74,0.34,20,0.17,89,2.37,N/A,N/A,54,22.0,56,1.36,18,1.53,28,0.68,31,26.67,26,21,34.43,3.56,N/A,N/A,57,1.19,38,1.19,54,N/A,N/A,0.17,N/A,N/A,N/A,N/A,34,0.34,80,70.69,44,78.55,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,N/A,0.17,N/A,N/A,39,0.51,54,3.9,100,0.0,N/A,N/A,N/A,N/A,39,41,0.68,1.69,92,1.86,67,100,100.0,1.19,90,8,1.02,73.73,100,0.0,80,0.24,52,15,0.05,0.19,51,0.18
179873,Loic Nego,9746,Right Wing-Back,433,33,€1M,Ligue 1,40,1.04,9,20.58,N/A,N/A,19,33,50.0,0.42,0,0.0,N/A,N/A,38,0.62,N/A,N/A,45,15.38,60,0.42,74,0.42,78,0.83,71,57.14,67,88,65.79,5.2,N/A,N/A,40,1.04,76,1.25,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,93,1.87,24,29.41,5,72.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,0.21,79,5.61,100,0.0,N/A,N/A,N/A,N/A,69,N/A,N/A,0.62,43,0.42,64,48,69.23,1.87,7,83,2.29,49.68,100,0.0,47,0.08,74,76,0.04,0.04,N/A,N/A
185236,Joshua King,9941,Left Winger,123,32,€2.3M,Ligue 1,N/A,N/A,70,19.02,N/A,N/A,52,30,22.22,1.46,0,0.0,72,0.73,88,2.2,N/A,N/A,N/A,N/A,5,3.66,N/A,N/A,52,0.73,100,100.0,35,15,25.0,3.66,N/A,N/A,85,2.93,60,1.46,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82,83.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65,0.73,15,0.73,100,0.0,N/A,N/A,N/A,N/A,60,40,0.73,2.93,N/A,N/A,N/A,N/A,N/A,N/A,62,88,8.78,40.24,5,0.73,48,0.06,32,38,0.24,0.24,18,0.14
195782,Marco Bizot,8521,Keeper,540,33,€3.5M,Ligue 1,100,10.33,N/A,N/A,24,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,10,2.17,N/A,10,-0.64,24,0.67,N/A,N/A,71,43.97,14,61.17,N/A,N/A,N/A,N/A,N/A,5,0.5,100,0.67,N/A,0,0.0,N/A,N/A,N/A,N/A,0,0.0,5,55.17,24,2.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
198277,Nicolas Pallois,9830,Center Back,271,37,€700K,Ligue 1,47,2.32,30,37.86,N/A,N/A,62,47,60.0,1.99,0,0.0,N/A,N/A,68,0.33,N/A,N/A,100,100.0,100,0.0,59,0.33,N/A,N/A,N/A,N/A,79,82,69.23,5.98,N/A,N/A,50,1.0,29,0.33,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,55,1.33,82,58.33,64,89.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,2.99,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,88,0.33,41,6,27.27,1.0,26,N/A,N/A,56.79,5,0.66,20,0.01,N/A,N/A,N/A,N/A,N/A,N/A
199834,Rémy Cabella,8639,Left Winger,261,34,€4M,Ligue 1,12,0.34,81,53.1,N/A,N/A,28,32,33.33,0.34,94,0.34,82,0.69,90,2.41,N/A,N/A,73,33.33,25,1.38,28,1.38,72,1.03,40,37.5,52,17,41.67,5.17,N/A,N/A,77,2.07,48,1.03,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,41,0.69,100,100.0,59,86.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,1.38,64,5.52,100,0.0,N/A,N/A,N/A,N/A,92,80,0.69,2.41,88,1.03,68,53,62.5,1.72,84,94,5.52,81.72,100,0.0,93,0.26,86,89,0.26,0.26,73,0.15
