Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
20861,André Hansen,7988,Keeper,1484,34,€550K,Eliteserien,69,7.34,N/A,N/A,19,0.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,46,1.52,N/A,27,-0.17,58,0.85,N/A,N/A,38,36.45,35,62.41,N/A,N/A,N/A,N/A,N/A,58,0.06,46,0.12,N/A,100,0.06,N/A,N/A,N/A,N/A,0,0.0,46,64.79,54,2.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28115,Ruben Yttergård Jenssen,8608,Central Midfielder,1980,36,€170K,Eliteserien,81,2.77,89,51.32,N/A,N/A,12,47,46.15,0.27,0,0.0,38,0.23,46,0.95,N/A,N/A,63,28.57,88,0.36,83,0.5,17,0.27,8,27.27,11,79,56.1,3.14,N/A,N/A,12,0.55,54,1.05,58,N/A,N/A,0.09,N/A,N/A,N/A,N/A,58,0.91,73,57.55,88,87.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88,0.77,50,4.27,100,0.0,N/A,N/A,N/A,N/A,13,27,0.18,0.55,53,0.36,27,40,61.76,0.95,83,26,1.27,70.5,50,0.14,84,0.22,41,42,0.07,0.07,53,0.09
40086,Espen Ruud,7988,Right Back,1439,40,€110K,Eliteserien,46,2.31,12,29.77,N/A,N/A,46,39,36.67,0.69,85,0.19,61,0.25,95,1.69,N/A,N/A,71,29.41,46,0.5,63,0.75,10,0.13,27,40.0,15,12,45.6,3.56,N/A,N/A,93,1.69,41,0.88,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,15,0.63,37,38.95,15,77.15,N/A,N/A,20,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,0.13,5,2.38,0,0.0,N/A,N/A,N/A,N/A,46,49,0.13,0.63,95,1.88,46,56,66.67,1.25,22,22,1.13,65.42,15,0.31,88,0.19,88,51,0.04,0.09,66,0.04
40095,Steffen Hagen,7988,Center Back,1082,38,€150K,Eliteserien,34,3.24,30,44.83,N/A,N/A,26,46,56.76,1.75,0,0.0,40,0.08,N/A,N/A,N/A,N/A,77,33.33,100,0.0,67,0.33,29,0.08,39,50.0,31,89,66.2,3.91,N/A,N/A,4,0.25,27,0.42,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,79,1.5,37,46.43,34,84.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,3.66,100,0.0,N/A,N/A,N/A,N/A,27,N/A,N/A,0.33,63,0.08,80,87,76.19,1.33,27,19,0.5,66.54,100,0.0,4,0.01,19,20,0.02,0.02,N/A,N/A
70078,Stefan Johansen,8509,Defensive Midfielder,1515,33,€650K,Eliteserien,97,5.41,92,52.81,N/A,N/A,19,67,54.55,0.36,65,0.12,23,0.12,97,2.2,N/A,N/A,48,23.42,32,1.13,58,0.77,26,0.36,27,40.0,9,10,40.48,3.03,N/A,N/A,87,1.9,37,0.83,84,N/A,N/A,0.24,N/A,N/A,N/A,N/A,17,0.48,85,64.08,77,85.73,97,0.06,N/A,N/A,98,N/A,N/A,N/A,N/A,0.18,N/A,N/A,65,0.53,64,4.75,100,0.0,N/A,N/A,N/A,N/A,64,57,0.36,1.31,88,1.54,50,94,84.0,1.25,94,37,1.66,79.78,26,0.24,100,0.31,87,48,0.08,0.22,76,0.17
73563,Amin Nouri,2305,Right Midfielder,1153,34,€110K,Eliteserien,26,1.01,29,24.67,N/A,N/A,22,29,38.46,0.39,54,0.08,27,0.16,4,0.23,N/A,N/A,18,11.11,47,0.86,79,0.55,45,0.62,24,38.1,54,65,53.39,4.92,N/A,N/A,63,1.25,88,1.72,53,N/A,N/A,0.08,N/A,N/A,N/A,N/A,65,1.01,21,37.14,35,79.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,0.86,83,5.7,100,0.0,N/A,N/A,N/A,N/A,25,41,0.23,0.7,20,0.08,75,87,78.57,1.72,48,24,1.25,56.28,45,0.16,12,0.04,40,42,0.06,0.06,51,0.09
97323,Jo Inge Berget,8509,Striker,519,34,€450K,Eliteserien,73,1.21,49,20.81,N/A,N/A,94,84,53.85,3.64,0,0.0,40,0.52,56,1.39,N/A,N/A,N/A,N/A,73,1.04,54,0.69,46,1.04,100,75.0,83,86,50.65,6.76,N/A,N/A,62,1.39,32,1.04,95,N/A,N/A,0.52,N/A,N/A,N/A,N/A,21,0.17,60,58.33,25,72.29,95,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,0.52,16,2.25,100,0.0,N/A,N/A,N/A,N/A,83,71,0.87,2.77,N/A,N/A,54,86,83.33,0.87,33,84,6.42,43.18,100,0.0,32,0.09,97,100,0.46,0.6,100,0.74
99702,Gjermund Åsen,8476,Central Midfielder,1887,33,€500K,Eliteserien,19,0.95,31,25.23,N/A,N/A,59,64,52.08,1.19,59,0.1,63,0.38,85,1.67,N/A,N/A,36,20.41,68,0.62,76,0.57,22,0.33,19,36.84,17,70,53.79,3.72,N/A,N/A,4,0.33,65,1.24,48,N/A,N/A,0.05,N/A,N/A,N/A,N/A,30,0.62,32,42.55,26,77.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65,0.52,16,2.96,100,0.0,N/A,N/A,N/A,N/A,58,51,0.33,1.24,86,1.43,12,20,54.55,0.57,25,73,3.39,50.56,100,0.0,87,0.23,46,49,0.08,0.08,52,0.09
127723,Marcus Sandberg,8448,Keeper,2160,33,€330K,Eliteserien,58,7.08,N/A,N/A,65,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,0.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,65,1.21,N/A,54,-0.0,100,1.58,N/A,N/A,15,32.95,8,43.53,N/A,N/A,N/A,N/A,N/A,46,0.08,50,0.12,N/A,77,0.04,N/A,N/A,N/A,N/A,0,0.0,73,70.41,62,2.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
131199,Alexander Ruud Tveter,8609,Striker,1479,33,€330K,Eliteserien,43,0.43,20,9.31,N/A,N/A,52,32,34.78,2.43,66,0.12,11,0.18,64,1.1,N/A,N/A,80,33.33,73,0.73,14,0.85,32,0.49,55,50.0,20,20,34.07,3.77,N/A,N/A,5,0.67,7,0.37,41,N/A,N/A,0.24,N/A,N/A,N/A,N/A,18,0.06,55,63.64,23,61.45,N/A,N/A,N/A,N/A,86,N/A,N/A,N/A,N/A,0.06,N/A,N/A,23,0.24,2,0.91,100,0.0,N/A,N/A,N/A,N/A,5,43,0.85,1.52,57,0.06,27,43,62.5,0.3,5,18,3.65,24.34,100,0.0,55,0.1,43,25,0.24,0.34,48,0.34
