Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
32562,Craig Gordon,9860,Keeper,450,41,€250K,Premiership,13,4.4,N/A,N/A,47,0.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,33,1.8,N/A,13,-0.42,20,0.8,N/A,N/A,53,33.33,73,63.33,N/A,N/A,N/A,N/A,N/A,20,0.2,60,0.2,N/A,0,0.0,N/A,N/A,N/A,N/A,0,0.0,7,52.63,7,2.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37770,Kasper Schmeichel,9925,Keeper,540,37,€1.5M,Premiership,7,3.33,N/A,N/A,33,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,80,0.32,N/A,N/A,N/A,N/A,100,74.07,100,96.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,100,100.0,0,1.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111060,Callum McGregor,9925,Central Midfielder,525,31,€9M,Premiership,62,2.06,100,78.86,N/A,N/A,9,12,28.57,0.34,0,0.0,66,0.51,34,0.69,N/A,N/A,N/A,N/A,41,1.03,45,1.03,80,1.2,89,77.78,6,30,46.15,3.09,N/A,N/A,6,0.34,23,0.51,97,N/A,N/A,0.69,N/A,N/A,N/A,N/A,31,0.51,95,75.0,100,92.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,0.34,97,8.91,100,0.0,N/A,N/A,N/A,N/A,61,78,0.69,1.2,N/A,N/A,27,80,83.33,0.86,97,36,0.86,97.89,100,0.0,81,0.17,58,59,0.05,0.05,81,0.13
127151,Andrew Halliday,9927,Central Midfielder,446,32,€300K,Premiership,27,1.01,17,18.16,N/A,N/A,17,69,60.0,0.61,70,0.2,58,0.4,73,1.41,N/A,N/A,55,22.22,73,0.4,83,0.4,69,1.01,91,83.33,41,95,67.65,4.64,N/A,N/A,28,0.81,52,1.21,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,36,0.61,28,31.25,19,68.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81,0.61,33,4.24,100,0.0,N/A,N/A,N/A,N/A,53,47,0.2,1.01,81,1.21,22,17,44.44,0.81,14,59,1.41,41.77,36,0.4,66,0.12,89,92,0.21,0.21,86,0.18
127633,Curtis Main,8284,Striker,159,32,€450K,Premiership,N/A,N/A,38,11.32,N/A,N/A,78,94,69.23,5.09,0,0.0,N/A,N/A,41,0.57,N/A,N/A,88,50.0,16,2.83,N/A,N/A,81,1.13,100,100.0,69,100,57.69,8.49,N/A,N/A,38,1.13,69,1.7,69,N/A,N/A,0.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,57.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,1.7,100,0.0,N/A,N/A,N/A,N/A,94,91,2.26,4.53,94,0.57,69,100,100.0,0.57,66,81,6.79,37.36,100,0.0,78,0.09,84,84,0.73,0.73,69,0.51
147726,Leon Balogun,8548,Center Back,102,36,€250K,Premiership,41,2.65,89,81.18,N/A,N/A,100,52,62.5,8.82,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,18,0.88,N/A,N/A,N/A,N/A,100,66,65.22,13.24,N/A,N/A,50,0.88,68,0.88,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,100,5.29,48,37.5,80,84.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,3.53,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,N/A,N/A,95,70,75.0,2.65,95,32,0.88,121.76,100,0.0,41,0.02,N/A,N/A,N/A,N/A,N/A,N/A
147877,Marley Watkins,8597,Striker,276,33,€250K,Premiership,78,0.65,50,12.39,N/A,N/A,44,31,33.33,2.28,0,0.0,38,0.33,88,1.63,N/A,N/A,N/A,N/A,62,1.3,N/A,N/A,88,1.3,41,33.33,50,41,34.09,4.89,N/A,N/A,28,0.98,38,0.98,81,N/A,N/A,0.65,N/A,N/A,N/A,N/A,N/A,N/A,100,100.0,91,80.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,0.98,81,3.26,100,0.0,N/A,N/A,N/A,N/A,34,56,0.98,1.63,N/A,N/A,50,100,100.0,0.33,38,25,3.26,30.65,100,0.0,69,0.06,81,81,0.65,0.65,84,0.67
154893,Jordan White,8649,Striker,452,32,€350K,Premiership,59,0.4,88,15.53,N/A,N/A,100,88,59.26,12.74,0,0.0,41,0.4,50,0.8,N/A,N/A,88,50.0,69,0.8,N/A,N/A,28,0.4,81,66.67,100,94,55.15,14.93,N/A,N/A,88,2.39,59,1.39,50,N/A,N/A,0.2,N/A,N/A,N/A,N/A,91,0.8,62,40.0,9,56.12,88,0.2,N/A,N/A,91,N/A,N/A,N/A,N/A,0.2,N/A,N/A,34,0.2,22,1.59,100,0.0,N/A,N/A,N/A,N/A,28,25,0.6,1.59,81,0.2,72,100,100.0,0.6,88,19,3.19,41.81,9,0.4,22,0.02,41,22,0.11,0.27,41,0.22
166963,Graham Carey,8467,Central Midfielder,258,35,€300K,Premiership,94,4.19,61,28.26,N/A,N/A,23,52,50.0,0.7,0,0.0,N/A,N/A,17,0.35,N/A,N/A,33,10.53,12,1.74,42,1.05,83,1.4,66,57.14,64,41,48.65,6.28,N/A,N/A,84,2.09,56,1.4,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,19,0.35,75,54.55,41,75.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,0.35,45,4.53,100,0.0,N/A,N/A,N/A,N/A,33,83,0.7,0.7,64,0.7,56,19,50.0,1.4,61,N/A,N/A,60.35,100,0.0,19,0.03,23,23,0.02,0.02,59,0.04
171708,Paul McGinn,9927,Center Back,453,33,€300K,Premiership,32,2.38,34,26.42,N/A,N/A,7,7,31.25,0.99,0,0.0,N/A,N/A,50,0.2,N/A,N/A,84,50.0,14,0.6,39,0.4,86,0.6,73,75.0,11,18,52.63,3.97,N/A,N/A,9,0.2,73,0.99,89,N/A,N/A,0.2,N/A,N/A,N/A,N/A,30,0.99,23,32.43,36,74.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,4.37,100,0.0,N/A,N/A,N/A,N/A,34,68,0.2,0.4,91,0.4,30,30,57.14,0.79,25,52,1.19,51.46,39,0.2,93,0.11,45,45,0.03,0.03,84,0.14
