Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
31097,Luka Modric,8633,Central Midfielder,405,39,€6M,LaLiga,100,5.11,100,74.0,N/A,N/A,27,20,20.0,0.22,0,0.0,73,0.67,100,3.78,N/A,N/A,88,46.67,55,1.11,30,1.11,12,0.44,100,100.0,2,2,29.03,2.0,N/A,N/A,88,2.0,8,0.67,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,72,0.67,81,76.67,100,91.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83,1.11,81,5.33,100,0.0,N/A,N/A,N/A,N/A,30,31,0.44,1.33,97,3.11,N/A,N/A,N/A,N/A,100,9,1.33,99.11,8,0.67,97,0.44,12,14,0.05,0.05,27,0.05
33991,Jesus Navas,8302,Right Back,198,38,€3M,LaLiga,31,0.45,73,33.64,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,N/A,N/A,80,2.27,N/A,N/A,86,44.44,50,1.36,73,0.45,14,0.45,47,50.0,9,41,46.67,3.18,N/A,N/A,11,0.45,45,1.36,81,N/A,N/A,0.45,N/A,N/A,N/A,N/A,48,0.45,19,25.0,88,88.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,0.45,20,2.73,100,0.0,N/A,N/A,N/A,N/A,14,66,0.91,0.91,100,3.64,28,17,33.33,0.45,64,20,1.82,58.64,100,0.0,75,0.2,64,70,0.23,0.23,47,0.15
34029,Raul Albiol,10205,Center Back,401,39,€1.6M,LaLiga,43,2.69,44,47.81,N/A,N/A,79,90,81.25,2.92,0,0.0,76,0.22,N/A,N/A,N/A,N/A,N/A,N/A,21,0.22,61,0.22,N/A,N/A,N/A,N/A,47,88,69.57,3.59,N/A,N/A,22,0.45,38,0.22,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,18,0.45,33,38.71,67,88.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,2.02,100,0.0,N/A,N/A,N/A,N/A,26,N/A,N/A,0.22,N/A,N/A,19,100,100.0,0.45,44,12,0.22,65.76,38,0.22,39,0.01,39,39,0.02,0.02,N/A,N/A
72541,César Azpilicueta,9906,Center Back,392,35,€2.5M,LaLiga,39,2.53,67,56.02,N/A,N/A,33,64,63.64,1.61,0,0.0,78,0.23,N/A,N/A,N/A,N/A,94,50.0,100,0.0,6,0.92,N/A,N/A,N/A,N/A,72,69,64.52,4.59,N/A,N/A,36,0.69,90,1.15,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,4,0.23,29,36.67,61,88.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1.38,100,0.0,N/A,N/A,N/A,N/A,81,78,0.23,0.69,93,0.23,44,11,37.5,0.69,69,67,0.92,77.37,100,0.0,89,0.07,62,62,0.05,0.05,54,0.01
73409,Ørjan Håskjold Nyland,8302,Keeper,720,34,€1.8M,LaLiga,39,4.38,N/A,N/A,39,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,0.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,46,1.25,N/A,29,-0.24,29,0.5,N/A,N/A,11,25.18,25,58.27,N/A,N/A,N/A,N/A,N/A,25,0.12,46,0.12,N/A,0,0.0,N/A,N/A,N/A,N/A,100,0.0,61,71.43,61,3.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75307,Daniel Parejo,10205,Central Midfielder,499,35,€3M,LaLiga,91,3.79,79,48.16,N/A,N/A,66,94,85.71,1.08,0,0.0,N/A,N/A,38,0.72,N/A,N/A,84,50.0,87,0.18,55,0.9,44,0.54,100,100.0,21,95,67.74,3.79,N/A,N/A,18,0.72,24,0.72,83,N/A,N/A,0.18,N/A,N/A,N/A,N/A,48,0.72,84,75.0,81,88.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73,0.72,79,5.95,100,0.0,N/A,N/A,N/A,N/A,24,67,0.36,0.54,69,0.54,47,79,75.0,1.08,66,28,0.72,64.57,32,0.36,48,0.07,88,50,0.06,0.2,95,0.3
80295,Yuri Berchiche,8315,Left Back,469,34,€2.4M,LaLiga,77,2.11,68,37.42,N/A,N/A,55,64,62.5,0.96,0,0.0,N/A,N/A,35,0.58,N/A,N/A,33,16.67,100,0.0,43,0.96,46,0.58,86,75.0,35,87,61.76,4.03,N/A,N/A,23,0.77,54,0.96,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,52,0.96,72,55.0,77,86.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,0.19,78,4.99,100,0.0,N/A,N/A,N/A,N/A,57,65,0.19,0.58,22,0.19,29,45,62.5,0.96,55,51,0.96,67.16,100,0.0,80,0.13,59,59,0.02,0.02,62,0.01
93447,Robert Lewandowski,8634,Striker,649,36,€20M,LaLiga,61,0.55,57,14.14,N/A,N/A,26,33,38.46,0.69,83,0.28,76,0.83,48,0.83,N/A,N/A,N/A,N/A,43,1.39,67,0.14,80,1.11,94,80.0,26,81,51.02,3.47,N/A,N/A,11,0.42,54,1.39,94,N/A,N/A,0.97,N/A,N/A,N/A,N/A,46,0.14,72,80.0,59,75.0,N/A,N/A,N/A,N/A,89,N/A,N/A,N/A,N/A,0.14,N/A,N/A,76,0.83,59,2.5,100,0.0,N/A,N/A,N/A,N/A,91,91,1.94,4.16,N/A,N/A,N/A,N/A,N/A,N/A,46,85,6.24,33.0,52,0.14,50,0.05,100,96,0.89,1.11,94,0.98
109222,Vicente Guaita,9910,Keeper,360,37,€1M,LaLiga,7,1.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,32,1.5,N/A,18,-0.29,61,1.0,N/A,N/A,61,38.89,79,84.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,7,57.14,18,2.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
115591,Ricardo Rodriguez,8603,Center Back,249,32,€4M,LaLiga,4,0.72,80,43.01,N/A,N/A,48,42,50.0,0.72,0,0.0,N/A,N/A,48,0.72,N/A,N/A,100,66.67,100,0.0,55,0.72,80,1.08,100,100.0,62,97,70.0,5.06,N/A,N/A,22,0.72,16,0.36,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,67,1.08,67,50.0,75,85.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,4.7,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,64,0.72,90,71,75.0,2.17,64,20,0.36,69.76,100,0.0,49,0.07,N/A,N/A,N/A,N/A,N/A,N/A
161012,Daley Blind,7732,Center Back,684,34,€3.5M,LaLiga,94,5.53,94,80.66,N/A,N/A,4,10,37.5,0.39,97,0.13,N/A,N/A,83,0.53,N/A,N/A,90,25.0,11,0.39,N/A,N/A,97,0.92,75,77.78,54,89,70.73,3.82,N/A,N/A,12,0.26,60,0.53,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,69,1.32,90,65.62,86,91.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,0.13,62,3.42,100,0.0,N/A,N/A,N/A,N/A,18,62,0.13,0.13,96,0.26,69,32,53.33,1.05,96,35,0.53,102.37,100,0.0,100,0.14,14,14,0.0,0.0,62,0.01
